id_NUMBER,ITEM_NAME,TITLE,MAKER,DATE_MADE,PLACE_MADE,MATERIALS,MEASUREMENTS,DESCRIPTION,WHOLE_PART,COLLECTION
1913-563,,"Electric pendulum, weighted above the centre, to beat second",,,,,,"Electric pendulum, weighted above the centre, to beat seconds, in small compass",WHOLE,SCM - Time Measurement
1916-193,pocket watch,Lever watch in case,"Roskell, Robert (maker)",1800-1830,"Liverpool, Liverpool, Merseyside, England, United Kingdom",incomplete,,"Lever watch in metal case by Robert Roskell, Liverpool, 1800-1830, no.34595, crank roller (case joint broken, seconds hand missing), donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-194,pocket watch,Lever watch in triple case,"Ellicott, John",1702-1772,"London, Greater London, England, United Kingdom",pinchbeck,,"Lever watch in pinchbeck triple case by Ellicott, London, no.7627, 1702-1772, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-195,pocket watch,"Pocket Watch in Silver Case by Thomas Earnshaw, No 4776, 1815-1831","Earnshaw, Thomas",hallmarked 1831,"London, England","enamel; brass (copper, zinc alloy); silver","overall: 10 mm x 49 mm x 65 mm, 0.085kg","Lever watch in silver case by Thos. Earnshaw, 119 High Holborn, London, no.4776, case hall marked 1831 (glass missing)",WHOLE,SCM - Time Measurement
1916-196,pocket watch,Lever watch in case,Piguet et Meylan,1811-1828,"Geneva, Switzerland",silver,,"Lever watch in silver case by Piguet et Meylan no.46133 (in case), Geneva, 1811-1828, skeleton movement, silver dial (escapement out of order), donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-197,pocket watch,Lever watch in case,Hurt and Wray (maker),1800-1870,"Glashütte, Germany",silver,,"Lever watch in silver case by Hurt and Wray, Glashutte, Germany, going barrel, no.1498, in case, 1800-1870, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-198,spring-driven watch; verge escapement; pocket watch,Pocket watch in silver inner case,"Harrison, T.",1765-1780,"Liverpool, Merseyside, England, United Kingdom","silver (metal); copper (alloy); zinc (metal); glass; enamel; brass (copper, zinc alloy)","overall: 26 mm x 38 mm x 49 mm, weight: 0.07kg","Watch in silver inner case and pinchbeck outer case, Debaufre type escapement, by Thos. Harrison, Liverpool 109, England, 1765-1780 (see note).",WHOLE,SCM - Time Measurement
1916-199,pocket watch,Watch in pair case,Philippe Dubois et Fils,1778-1789,"Le Locle, Neuchâtel, Switzerland",incomplete; pinchbeck; tortoiseshell,,"Watch in pinchbeck pair painted tortoiseshell case by Philippe Dubois et Fils, Locle, Switzerland, 3/4 movement with club-footed escapement. Dial and hands missing, 1778-1789, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-201,pocket watch,"Pocket Watch in Silver Case by James Ryland, 1795-1805","Ryland, James",1795-1805,"Ormskirk, Lancashire, England, United Kingdom","brass (copper, zinc alloy); enamel; silver","overall: 22 mm x 50 mm x 63 mm, 0.11kg","Watch in silver pair case by James Ryland, Ormskirk, no.646, club-footed verge. Dial marked ""John Atherton, Maghull"", 1795-1805",WHOLE,SCM - Time Measurement
1916-202,spring-driven watch; verge escapement,Pocket watch in silver case,"Magnin, J. S.",hallmarked 1795,,"silver (metal); glass; brass (copper, zinc alloy); enamel","overall: 19 mm x 46 mm x 53 mm, weight: 0.085kg","Watch in silver case, Debaufre type escapement, curb compensator, maintaining power, by J. S. Magnin, hall marked 1795.",WHOLE,SCM - Time Measurement
1916-203,pocket watch,Watch in case with Marsh's escapement,"Marsh, Thos. (maker)",1770-1811,"London, Greater London, England, United Kingdom",silver,,"Watch in silver case, by Thos. Marsh, London, no.102, going barrel, Marsh's escapement ( re-cased), 1770-1811, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-204,pocket watch,"Pocket Watch in Silver Case by Thymen, 1690-1710","Thijmen, Pieter",1690-1710,"Gouda, South Holland, Netherlands","enamel; glass; brass (copper, zinc alloy); steel (metal); silver repoussé","overall: 25 mm x 53 mm x 62 mm, 0.12kg","Verge watch with pendulum balance in silver pair repousse case, by Pieter Thijmen, Gouda, 1690-1710.  It is decorated with an image of two figures and a flame.",WHOLE,SCM - Time Measurement
1916-205,pocket watch,"Silver Pocket Watch with Silver Dial and Calender, 1705-1715",Viet,1705-1715,"Rotterdam, South Holland, Netherlands","brass (copper, zinc alloy); silver repoussé; enamel; silver","overall: 28 mm x 54 mm x 62 mm, 0.115kg","Verge watch in silver pair enamelled repousse case by Viet, Rotterdam, silver dial, calendar, pendulum balance (glass missing), 1705-1715.  Enamel is decorated with an image of a man, but it is damaged.",WHOLE,SCM - Time Measurement
1916-206,pocket watch; pendulum,Verge watch in case with pendulum balance,"Juhan, A. (maker)",1776,"Dordecht, Geemente, South Holland, Netherlands",pinchbeck; shagreen,,"Verge watch in pinchbeck shagreen case (damaged), by A. Juhan, Dortdrecht, pendulum balance, 1776, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-247,pocket watch; cylinder watch,"Repeater, cylinder escapement, in silver case by Breguet, no",Breguet,,,silver; chronological; repeater; timer; regulating; horizontal; springs (elastic objects); hallmark,,"Repeater, cylinder escapement, in silver case by Breguet, no.128 (on case) cylinder with dial",WHOLE,SCM - Time Measurement
1916-209,pocket watch,"Verge Escapement Pocket Watch by William Smith, 1800-1834","Smith, William",1800-1834,"London, Greater London, England, United Kingdom","brass (copper, zinc alloy); enamel; metal (unknown); pinchbeck","overall: 18 mm x 50 mm x 79 mm, 0.085kg","Verge watch in pinchbeck case by William Smith, London. Hare and snail, no.9709, 1800-1834",WHOLE,SCM - Time Measurement
1916-210,spring-driven watch; verge escapement; pocket watch,Pocket watch in pinchbeck case,Thierry,,"Caen, France",copper (metal); zinc (metal); enamel,"overall: 29 mm x 60 mm x 89 mm, weight: 0.205kg","Verge watch in pinchbeck case by Thierry, Caen, France, visible rack regulator, verge broken.",WHOLE,SCM - Time Measurement
1916-211,,"Verge watch in silver inner case, shagreen outer case by Jas","Shearwod, Jas. (maker)",,"London, Greater London, England, United Kingdom",,,"Verge watch in silver inner case, shagreen outer case by Jas Shearwood, London, no.3028, silver dial, calendar. Hall marked 1759 (damaged)",WHOLE,SCM - Time Measurement
1916-213,pocket watch; cylinder watch,"Silver Pocket Watch with Calender, 1850-1860",Unknown maker,hallmarked 1860; 1850-1890,"England, United Kingdom",glass; enamel; silver; chronological; horizontal; regulating; hallmark; timer,,"Cylinder watch in silver case, calendar, balance under dial, R.Q., in case. Hall marked 1860",WHOLE,SCM - Time Measurement
1916-214,pocket watch; calendar watch,Pocket watch in silver gilt case with calendar dial,"Clarke, Richard",1790-1810~~~~~~~~~~~~~~~~~~~~~~~~~~~~//////////////////////,"London, England, United Kingdom",silver (metal); silver gilt; enamel; glass,"overall: 26 mm x 41 mm x 50 mm, weight: 0.08kg","Lever watch, no. 124, in silver gilt case, calendar dials back and front, by Richard Clarke, London, England, 1790-1810.",WHOLE,SCM - Time Measurement
1916-215,stop-watch,Verge watch in inner and outer cases,"Howard, Richd. (maker)",1702-1718,"London, Greater London, England, United Kingdom",pinchbeck; shagreen,,"Verge watch in pinchbeck inner, shagreen outer case, by Edwd. Howard, London, no.5836. Stop watch, centre seconds, 1702-1718, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-217,pocket watch,"Pocket Watch in Silver Case, 1840-1900",Unknown maker,1840-1900,"England, United Kingdom","brass (copper, zinc alloy); silver; chronological; regulating; free-standing; timer; free-standing; springs (elastic objects)","overall: 18 mm x 55 mm x 78 mm, .14kg","Geneva lever watch in silver case, no.10943 (in case), independent centre seconds (stop work incomplete), 1840-1900",WHOLE,SCM - Time Measurement
1916-218,pocket watch; stop-watch,Pocket watch and stop watch,"Williams, William",1890,"Bury, Bury, Greater Manchester, England, United Kingdom; Lancashire; England, United Kingdom",silver; timer; regulating; free-standing; springs (elastic objects),,"Lever escapement pocket watch beating tenths of a second, signed on the back plate 'Wm Williams 32 Rock St Bury. No 19289.' and on the dial 'PATENT No 4762 MARCH 26TH 1890 by WILLM. WILLIAMS BURY', in sterling silver case hallmarked at Chester in 1890, with winding square and hand adjusting square under the back cover. The watch has hour, minute, and small seconds hands, plus a centre seconds hand rotating once every two seconds. A stop mechanism acting directly on the balance wheel and operated by a slide on the side of the case allows use as a stopwatch.",WHOLE,SCM - Time Measurement
1916-222,pocket watch,Incomplete lever watch in case,"Holliday, Cornelius Brooks",1835-1875,"Northampton, United Kingdom",silver,,"Incomplete lever watch in silver case, hall marked 1842. C.B.H. in case (? Holl's patent), Cornelius Brooks Holliday, 1835-1875, Northampton, England, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-225,pocket watch; repeater - timepiece,"Repeater in case, with bell","Tawney, Pepe (maker)",1700-1750,"London, Greater London, England, United Kingdom",silver,,"Repeater, verge, by Pepe Tawney, London, bell, in silver case, (out of order), 1700-1750, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-226,pocket watch; repeater - timepiece,Repeater in pair case,"Graham, George",1673-1751,"London, Greater London, England, United Kingdom",pinchbeck,,"Repeater, verge, by G. Geo. Graham, London, no.448, in pinchbeck pair case, dumb repeater,  out of order, case joiunt broken, 1673-1751, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-227,pocket watch; repeater - timepiece,Repeater in pierced case,"Massy, Henry (maker)",1692-1707,"London, Greater London, England, United Kingdom",pinchbeck,,"Repeater verge by Henry Massy, London, no.3505, in pierced pinchbeck case, out of order, spring broken, 1692-1707, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-249,pocket watch; cylinder watch,Cylinder repeater in case,Chevallier et Cochet (maker),1790-1805,"Paris, French",,,"Repeater in silver case by Chevallier et Cochet, Chester, hall mark 1861, re-cased ?, cylinder (minute hand and push piece missing), 1790-1805, Paris, French, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-255,pocket watch,Pocket alarm watch in pinchbeck case,"Toulmin, S.",1771-1800,"Strand, London, England, United Kingdom","copper (metal); zinc (metal); enamel; glass; brass (copper, zinc alloy)","overall: 29 mm x 56 mm x 72 mm, weight: 0.19kg","Alarm watch in pinchbeck case, no. 3495, verge, by Samuel Toulmin, Strand, London, England, 1771-1800.",WHOLE,SCM - Time Measurement
1916-256,spring-driven alarm watch; verge escapement; pocket watch,Pocket Alarm Watch,Meuron and Company,1771-1800,Europe,gold plated (gilded); enamel; glass,"overall: 25 mm x 55 mm x 73 mm, weight: 0.145kg","Alarm watch in gold plated case, no. 18595, French verge, bell, by Meuron and Co., Europe, 1771-1800.",WHOLE,SCM - Time Measurement
1916-259,pocket watch; clock watch,Pocket watch in pinchbeck and tortoiseshell case,"Barrow, N.",1675-1685,"London, England, United Kingdom","pinchbeck; tortoiseshell; enamel; brass (copper, zinc alloy); steel (metal)","overall (slightly open): 32 mm x 52 mm x 66 mm, weight: 0.44kg","Pocket watch in pinchbeck tortoiseshell case, locking plate, verge (minute hand missing), by Nath Barrow, London, England, 1675-1685.",WHOLE,SCM - Time Measurement
1916-261,pocket watch,"Pocket Watch in Gold Case with Painted Dial, 1810-1880",Unknown maker,1810-1880,France,"brass (copper, zinc alloy); glass; gold; engraved","overall: 19 mm x 49 mm x 70 mm, 0.085kg","Clock watch, verge escapement, in gold case, plate engraved ""Pour Eugenic Ferro in Treviso"" French verge ( broken) bell, repeater, dial painted with Father Tissie, 1810-1880",WHOLE,SCM - Time Measurement
1916-260,pocket watch; clock watch,"Pocket Watch, late 17th Century","Martin, John",1671-1700,"London, Greater London, England, United Kingdom",silver; enamel; glass; steel; brass; iron; silk; complete,case: 85 x 60 x 35 mm; watch: 75 x 52 x 25 mm,"Clock watch in silver pair case by John Martin, London, locking plate, calendar, verge",WHOLE,SCM - Time Measurement
1916-262,pocket watch; cylinder watch,"Pocket Watch in Gold Case by Breguet, 1790-1810",Breguet,1790-1810,France,"enamel; brass (copper, zinc alloy); gold; ruby","overall: 23 mm x 56 mm x 79 mm, 0.16kg","Clock watch, cylinder escapement, in gold case by Breguet no.300, ruby cylinder, over-hanging below bottom pivot, with certificate, 1790-1810",WHOLE,SCM - Time Measurement
1916-263,pocket watch; cylinder watch,"Musical Repeater Pocket Watch, 1850-1865",Unknown maker,1850-1965,France,"brass (copper, zinc alloy); pinchbeck; enamel","overall: 20 mm x 60 mm x 80 mm, .135kg","Musical repeater, cylinder escapement, in pinchbeck case, enamelled plaque set in back, no.1860 in case, 8594 under dial, cylinder, incomplete and damaged, dial missing, etc.",WHOLE,SCM - Time Measurement
1916-264,chronometer; instrument component,Swiss movement (incomplete and broken) with chronometer esca,Dimier Frères et Cie,,"Fleurier, Neuchâtel, Switzerland",,,"Swiss movement (incomplete and broken) with chronometer escapement by Dimier Freres et leic, Fleurier, nos.28981 and 475",WHOLE,SCM - Time Measurement
1916-267,pocket watch; instrument component,Geneva independent centre seconds movement,Unknown maker,1801-1900,Switzerland,,,"Geneva independent centre seconds movement, horizontal escapement, seconds hand missing, damaged, 1801-1900, Switzerland, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-268,instrument component; pocket watch,Geneva independent centre seconds movement,Unknown maker,1801-1900,Switzerland,,,"Geneva independent centre seconds movement, incomplete, lever escapement, regulator with compensator, for dial with two sets of hands, 1801-1900, Switzerland, donated by Evan Robert in 1916",WHOLE,SCM - Time Measurement
1916-270,instrument component; pocket watch,French verge movement,Breguet,1775-1800,France,,,"French verge movement by Breguet, no.999, damaged, France, 1775-1800, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-271,instrument component; pocket watch,Verge movement,"Graham, George",1673-1751,"London, United Kingdom",,,"Verge movement, no.8396, by Geo. Graham, incomplete, London, 1673-1751, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-122,pocket watch,Verge watch with case,"Delander, Danl. (maker)",1692-1730,"London, Greater London, England, United Kingdom",pinchbeck; tortoiseshell,,"Verge watch in pinchbeck and tortoiseshell case by Danl. Delander, 1692-1730, London, no.228 (base damaged, minute hand missing), donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-124,pocket watch,"Pocket Watch in Silver Pair Case, 1755-1770","Finch, William",1755-1770,"Halifax, Calderdale, West Yorkshire, England, United Kingdom","brass (copper, zinc alloy); metal (unknown); enamel; silver","overall: 24 mm x 51 mm x 60 mm, 0.1kg","Verge watch in silver pair case by Wm. Finch, Halifax, silver cock, 1755-1770",WHOLE,SCM - Time Measurement
1916-125,pocket watch,Verge watch with inner and outer case,"Kipling, Will (maker)",1705-1737,"London, Greater London, England, United Kingdom",pinchbeck; leather,,"Verge watch in pinchbeck inner case, leather outer case, by Will Kipling, London, 1705-1737, no.483, silver pillars (jewelled endstone removed), donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-128,pocket watch,Verge watch in case of special form,"Bosley, Joseph",1718-1755,"London, Greater London, England, United Kingdom",pinchbeck,,"Verge watch in pinchbeck case of special form without any hinges, by Josh Bosley, London, no.577, patent regulator (back of case loose), 1718-1755, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-130,pocket watch,Pocket watch in silver case,Rosé,1780-1810,"Solothurn, Switzerland","silver (metal); enamel; brass (copper, zinc alloy)","overall: 25 mm x 53 mm x 75 mm, weight: 0.1kg","Verge watch in silver case, no.4399, large balance wheel, calendar, by Rosé, Solothurn, Switzerland, 1780-1810.",WHOLE,SCM - Time Measurement
1916-131,pocket watch,"Pocket Watch in Gold Case with Enamel Decoration, 1740-1760",Le Roy,1740-1760,France,"gold (metal); enamel; brass (copper, zinc alloy)","overall: 13 mm x 44 mm x 52 mm, .05kg","Verge watch in gold enamelled case by Le Roy, (eleve de Breguet), no.30279, oriental dial, 1740-1760. The back of the gold case is decorated with a river landscape.",WHOLE,SCM - Time Measurement
1926-251,compensation balance,"Compensation Balance by Kullberg, 1860-1880","Kullberg, Victor",1860-1880,"London, Greater London, England, United Kingdom","steel (metal); brass (copper, zinc alloy)",overall: 9 mm x 35 mm,"Compensation balance by Victor Kullberg, London, England, 1860-1880.",WHOLE,SCM - Time Measurement
1926-992,sundial,"Primitive Egyptian Altitude Sundial or Shadow Clock, 1000-800 BCE",Unknown maker,1000-800 BCE,Qus; Egypt,wood; tin,,"Primitive time measuring device consisting of wooden board with horizontal wooden gnomen or 'goal posts', the position of the shadow cast by this traverse piece indicates the passage of time, Unsigned, Egypt, 1000-800 BCE",WHOLE,SCM - Time Measurement
1927-1981,pendulum clock; reconstruction,"Reproduction of Huygens clock movement (from ""Horologium Osc",J. Morrison and Sons,1927,"London, Greater London, England, United Kingdom",seconds dial: brass,,"Reproduction of Huygens clock movement (from ""Horologium Oscillatorium"" 1673) with brass seconds dial and additional minutes dial and seconds dial",WHOLE,SCM - Time Measurement
1928-207,pocket sundial,Chinese pocket sundial and compass,,1770-1880,China,"wood (unidentified); brass (copper, zinc alloy); glass","overall: 17 mm x 53 mm x 118 mm, weight: 0.05kg","Pocket sundial in wood, including compass and folding brass gnomon (about 2 1/2 x 4 3/4-inches overall), China, 1770-1880. For use at latitude 35°N. Inclination adjustable by means of hinged strut - thirteen notches corresponding to thirteen solar periods of the year. Table engraved on dial.",WHOLE,SCM - Time Measurement
1928-208,,Bain Electric clock movement (incomplete - crutch,"Bain, Alexander",1840-1877,,,"overall: 715 mm x 305 mm x 200 mm,","Bain Electric clock movement (incomplete - crutch, contacts, dial and contact maker missing)",WHOLE,SCM - Time Measurement
1928-300,mock-up; escapement,"Model of Lever Escapement, Unsigned, 1860-1928",Unknown maker,1860-1928,United Kingdom,"brass (copper, zinc alloy); steel (metal); copper (metal)","overall: 135 mm x 230 mm x 310 mm,","Model of lever escapement, Unsigned, 1860-1928",WHOLE,SCM - Time Measurement
1928-301,,Watch movement by R,"Markham, R. (maker)",,,,,Watch movement by R. Markham with experimental escapement (incomplete),WHOLE,SCM - Time Measurement
1928-302,,Small timepiece movement with helical gearing (incomplete),,,,,"overall: 92 mm x 52 mm x 74 mm,",Small timepiece movement with helical gearing (incomplete),WHOLE,SCM - Time Measurement
1928-674,,Small clock with conical pendulum in pieces,,,,,,Small clock with  conical pendulum in pieces,WHOLE,SCM - Time Measurement
1928-721,clock,"Japanese Weight-Driven Clock, Unsigned, 1800-1890",Unknown maker,1800-1890,Japan,"wood (unidentified); brass (copper, zinc alloy); steel (metal)","overall: 410 mm x 70 mm x 35 mm,","Japanese clock (weight missing), unsigned, 1800-1890",WHOLE,SCM - Time Measurement
1928-722,lantern clock; weight-driven balance wheel clock,Brass lantern clock,"Webb, Edward",1688,"Chew Stoke, Somerset, England, United Kingdom","brass (copper, zinc alloy); steel (metal)","overall: 406 mm x 55 mm x 62 mm, weight: 5.95kg","Brass lantern clock by Edward Webb, Chew Stoke, Somerset, England, 1688, (weight missing), with case.",WHOLE,SCM - Time Measurement
1928-1054,weight-driven balance wheel clock,"German wooden clock, with foliot type escapement",,1669,Germany,"steel (metal); wire; brass (copper, zinc alloy); iron; wood (unidentified)","overall: 360 mm x 185 mm x 210 mm, weight: 3.15kg","Wooden clock, with foliot type escapement, Germany, 1669 (driving weights missing).",WHOLE,SCM - Time Measurement
1928-1182,diagram,Diagram of cylinder escapement,Science Museum,1928,"London, Greater London, England, United Kingdom",,overall: 170 mm x 150 mm,Diagram of cylinder escapement,WHOLE,SCM - Time Measurement
1928-1183,diagram,Diagram of Breguet's cylinder escapement,Science Museum,1928,"London, Greater London, England, United Kingdom",,"overall: 140 mm x 147 mm,",Diagram of Breguet's cylinder escapement,WHOLE,SCM - Time Measurement
1928-1184,diagram,Diagram of English Lever escapement,Science Museum,1928,"London, Greater London, England, United Kingdom",,overall: 136 mm x 141 mm,Diagram of English Lever escapement,WHOLE,SCM - Time Measurement
1928-1185,diagram,Diagram of Club Tooth Lever escapement,Science Museum,1928,"London, Greater London, England, United Kingdom",,overall: 184 mm x 136 mm,Diagram of Club Tooth Lever escapement,WHOLE,SCM - Time Measurement
1928-1188,diagram,Diagram of Virgule escapement,Science Museum,1928,"London, Greater London, England, United Kingdom",,overall: 145 mm x 120 mm,Diagram of Virgule escapement,WHOLE,SCM - Time Measurement
1928-1189,diagram,Diagram of Duplex escapement,Science Museum,1928,"London, Greater London, England, United Kingdom",,,Diagram of Duplex escapement,WHOLE,SCM - Time Measurement
1916-272,instrument component; pocket watch,Movement with rack-lever escapement,Whitehurst and Son (maker),1805-1846,"Derby, Derbyshire, England, United Kingdom",,,"Movement with rack-lever escapement, no.716, Whitehurst and Son, Derby, incomplete, 1805-1846, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-275,instrument component; pocket watch,"Movement with rack-lever escapement no.4824, R. Roskell","Roskell, Robert",1800-1830,"Lancashire, England, United Kingdom",,,"Movement with rack-lever escapement no.4824, R. Roskell, Lancashire, England, 1800-1830, donated by Even Roberts in 1916",WHOLE,SCM - Time Measurement
1918-95,compass sundial,Brass Compass and Sundial,Walker and Son,1802-1819,"Dublin, Ireland","brass (copper, zinc alloy); glass; steel (metal)","overall: 18 mm x 92.075 mm, weight: 0.265kg","Pocket sundial and compass with brass cap, 3 5/8-inch diameter, by Walker and Son, Dublin, Ireland, 1802-1819. For use at latitude 51.5° (see note).",WHOLE,SCM - Time Measurement
1918-97,universal equinoctial sundial,"Universal sundial, by Sadtler of Vienna",Sadtler,1701-1800,"Vienna, Wien, Austria",,,"Universal sundial, by Sadtler of Vienna",WHOLE,SCM - Time Measurement
1918-98,Universal ring sundial,"4"" Universal ring dial, late 17th or early 18th century",,1676-1725,,,,"4"" Universal ring dial, late 17th or early 18th century",WHOLE,SCM - Time Measurement
1919-2,Analemmatic sundial,"Analemmatic sundial, brass, by Tuttell, late 17th century (g",Tuttell (maker),1698-1702,"London, Greater London, England, United Kingdom",,,"Analemmatic sundial, brass, by Tuttell, late 17th century (gnomons imperfect)",WHOLE,SCM - Time Measurement
1919-324,universal ring sundial,Universal Ring Dial,,1701-1800,Europe,"brass (copper, zinc alloy)","overall: 4 mm x 92.075 mm, weight: 0.09kg","Universal ring dial, brass, 3 5/8-inch outside diameter, Europe, 1701-1800.",WHOLE,SCM - Time Measurement
1920-360,sand glass,"Common sand glass, in case",,1801-1900,,glass; sand,,"Common sand glass, in case",WHOLE,SCM - Time Measurement
1923-404,equinoctial sundial,"Universal sundial dated 1764, engraved ""Filippo et Hover Fra",Filippo et Hover,1764,,,,"Universal sundial dated 1764, engraved ""Filippo et Hover Fratelli De Bianchy 4 No.8, 1764 with leather case",WHOLE,SCM - Time Measurement
1923-584,clocks; sundials; altitude dials with gnomons; drawings; shadow clocks,Plaster copy of an Egyptian shadow clock.,,,,plaster,,"Plaster copy of an Egyptian Shadow Clock, without cross-piece, which is missing from the original and a drawing in frame",WHOLE,SCM - Time Measurement
1916-276,spring-driven watch mechanism; rack-lever escapement,Pocket watch mechanism,"Roskell, R.",1750-1805,"Liverpool, Merseyside, England, United Kingdom","enamel; brass (copper, zinc alloy); steel (metal)","overall: 13 mm x 46 mm, weight: 0.08kg","Movement with rack-lever escapement no.8225, by R. Roskell, Liverpool, England, 1750-1805, incomplete.",WHOLE,SCM - Time Measurement
1916-278,movement - clockwork; duplex watch,Movement with double wheel duplex escapement,"Vincent, Charles (maker)",1820,"London, Greater London, England, United Kingdom",,,"Movement with double wheel duplex escapement by Charles Vincent, London, incompelete, 1820, donated by Even Roberts in 1916",WHOLE,SCM - Time Measurement
1916-280,instrument component; pocket watch,Alarm watch movement with French verge escapement,"Japy, Frederic",,"Beaucourt, France",,,"Alarm watch movement with French verge escapement, by Japy, with wire gong, Frederic Japy, Beaucourt, France, 1749-1813, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-281,spring-driven watch mechanism; verge escapement,"Movement with club-footed verge escapement, no. 1260, Jas. H","Houghton, J.",,"Ormskirk, Lancashire, England, United Kingdom",,,"Movement with club-footed verge escapement, no. 1260, Jas. Houghton, Ormskirk, incomplete and damaged",WHOLE,SCM - Time Measurement
1916-284,instrument component; pocket watch,"Movement with lever escapement, no",Daniels (maker),1820,"Liverpool, Liverpool, Merseyside, England, United Kingdom",,,"Movement with lever escapement, no.8802, Daniels, Liverpool, incomplete and damaged, 1820, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-286,instrument component; pocket watch,Alarm watch movement with French verge escapement,Meuron and Co. (maker),1798,"Paris, Ville de Paris, Île-de-France, France",,,"Alarm watch movement, no.11471, Meuron and Co., with French verge escapement, incomplete, 1798, Paris, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-287,instrument component; pocket watch,Bar movement with Geneva lever escapement,Unknown maker,1801-1900,Switzerland,,,"Bar movement with Geneva lever escapement no.16670, incomplete, 1801-1900, Switzerland, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-293,instrument component; pocket watch,Small movement with vergule escapement,"Vaucher, Daniel",1767-1786,"Paris, Ville de Paris, Île-de-France, France",,,"Small movement by Vauchez, Paris, vergule escapement but balance wheel and accessories missing, no hands, 1767-1786, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-297,instrument component; pocket watch,Movement with French verge escapement,Breguet,1775-1800,France,,,"Movement with French verge escapement no.9491, Breguet, dial damaged, France, 1775-1800, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-298,spring-driven watch mechanism; cylinder escapement,"Flat movement with horizontal escapement no. 23093, F. and A",F. and A. Meylan,,"Geneva, Geneva canton, Switzerland",,,"Flat movement with horizontal escapement no. 23093, F. and A. Meylan, Geneva, incomplete ( no dial etc., part of regulator missing)",WHOLE,SCM - Time Measurement
1916-299,pocket watch; cylinder watch,"Swiss or French movement with horizontal escapement including ""Jumper"" mechanism",Unknown maker,1801-1900,Switzerland; France,,,"Swiss or French movement with horizontal escapement including ""Jumper"" mechanism, damaged (cylinder broken), incomplete (dial etc. missing) no.390, 1801-1900",WHOLE,SCM - Time Measurement
1916-321,equinoctial sundial,Universal sundial in bronze with compass,,1701-1800,Germany,"metal (unknown); bronze (copper, tin alloy)","overall: 19 mm x 73.03 mm, weight: 0.1kg","Universal pocket sundial, octagonal base, diameter of hour circle 2 7/8-inches, small plumbob, Germany, 1701-1800 (see note).",WHOLE,SCM - Time Measurement
1917-96,cubical sundial,"Cubical sundial, on jointed pillar stand, with compass paper","Beringer, David",1751-1800,Germany,wood; paper; brass,,"Cubical sundial, on jointed pillar stand, with compass paper on wood, with brass gnomons.   Inscribed ""D. Beringer. G.R. R???fried"" [sic].",WHOLE,SCM - Time Measurement
1917-98,dipleidoscope,"Dipleidoscope with mechanical clock dial, British 1870-1890",E. Dent & Co.,1870-1890,"City of London, England, United Kingdom","brass (copper, zinc alloy); glass","overall: 130 mm x 150 mm x 140 mm,","Dent's dipleidoscope on triangular stand, with mechanical clock dial (clock glass missing), by E. Dent & Co., London, England, 1870-1890.   Used for the determination of midday to check the accuracy of mechanical timepieces",WHOLE,SCM - Time Measurement
1938-320,spring-driven watch mechanism; lever escapement; detached,"Lever watch movement by Thos. Russell and Son, with up-and-d",Thomas Russell and Son,1801-1900,,,,"Lever watch movement by Thos. Russell and Son, with up-and-down indicator for winding",WHOLE,SCM - Time Measurement
1938-321,pocket watch,"Pocket Watch with Calender in Silver Case, 1840-1880",Unknown maker,1840-1880,Europe,"silver (metal); enamel; brass (copper, zinc alloy)","overall: 16 mm x 53 mm x 77 mm, 0.13kg","Half-hunter lever watch with calendar at back giving days of the week and the month, 1840-1880",WHOLE,SCM - Time Measurement
1923-1512,,Early electric clock by Wheatstone with base and small part,"Wheatstone, Sir Charles",,,,,"Early electric clock by Wheatstone with base and small part. (Originally part of Inv.No. 1923-278, see ScM.7/636/1)",WHOLE,SCM - Time Measurement
